Comments Number;Translated Comments;ORIGINE   Topic 01=Green apple and Citrus notes;EXTREMITE    Topic 01=Green apple and Citrus notes;ORIGINE   Topic 02 = Brioche and yeast characteristics;EXTREMITE    Topic 02 = Brioche and yeast characteristics;ORIGINE   Topic 03 = High acidity and freshness;EXTREMITE     Topic 03 = High acidity and freshness;ORIGINE   topic 04 = Fine and creamy bubbles;EXTREMITE     topic 04 = Fine and creamy bubbles;ORIGINE   Topic 05 = Complex & Balanced Flavour;EXTREMITE     Topic 05 = Complex & Balanced Flavour;ORIGINE   Topic 06 = Too Sweet or Lack of acidity;EXTREMITE     Topic 06 = Too Sweet or Lack of acidity;ORIGINE   Topic 07 = Short Finish or Insufficient length;EXTREMITE     Topic 07 = Short Finish or Insufficient length;Topol_ranking
15;Very pale greenish-yellow color. No malolactic fermentation, sharp acidity, some torréfaction, yellow apple, lemon.;0,7;-0,3;0;0;0,7;-0,1;0;0;0;0;0;0;0;0;15
13;Wimbledon continues… 100% Chardonnay from 15 Cru sites, 70% of which are grand & premier cru. Base vintage 2014 with 40% reserve wines from 20 years of vintages. 5 years on lees. 7g/l dosage. Pale lemon, with golden hues. Pronounced, baked apple, crusty fresh bread, candied citrus, lime, caramel, cream. Dry. Medium body & alcohol. High acidity. Pronounced, candied lemon & lime, bread, ginger, almond, saline & chalk. Game, set & match to the Blanc de Blanc!;0,7;-0,3;0,8;-0,4;0,7;-0,2;0,8;-0,2;0,8;-0,2;0;0;0;0;16
32;Red and green apple, lemon, yogurt, buttermilk, touch of butter and cream, saffron, nutty note, and lovely mushroom/artichoke lingering finish.;0,8;-0,2;0;0;0;0;0;0;0,7;-0,4;0;0;0,9;-0,4;17
44;4.25, very lovely Blanc de Blancs that has two faces, the cold-refreshing and the warm-yeasty. Serve it very cold and over time let it warm up to see the beautiful change.;0;0;0,9;-0,2;0,8;-0,4;0;0;0,7;-0,4;0;0;0;0;18
31;Beautiful notes of yeast and brioche. Complex.;0;0;0,8;-0,4;0;0;0;0;0,7;-0,2;0;0;0;0;19
20;Noble and well-rounded, very fine beads. No dominant flavor. Quite delicate. Great on its own.;0;0;0;0;0;0;0,8;-0,3;0,8;-0,4;0;0;0;0;20
37;Very good Blanc de Blancs... crispy, fresh, and complex.;0;0;0;0;0,7;-0,2;0;0;0,7;-0,2;0;0;0;0;21
18;Subtle blend of almond and milk chocolate. Very elegant.;0;0;0;0;0;0;0,8;-0,4;0,8;-0,3;0;0;0;0;22
36;Green apple, brioche, cream, citrus.;0,8;-0,2;0,7;-0,4;0;0;0;0;0;0;0;0;0;0;23
42;Visiting Lanson. Very nice tour, finished by tasting 3 champagnes. And this was my first Blanc de Blancs. 100% Chardonnay, very fresh just as the first one I tried.;0;0;0;0;0,9;-0,3;0;0;0,7;-0,3;0;0;0;0;24
10;Great slightly more complex and interesting champagne, great yeast note filled nose, reminding me of apricot or vanilla crowns in a bakery, still fresh and very dry, lots of lemon - the key note really.;0,7;-0,3;0,8;-0,4;0,9;-0,2;0,8;-0,4;0,8;-0,2;0;0;0;0;25
5;Splendid wine, some bread tones with apples, lemons, and almonds, nice acidity, long finish.;0,9;-0,3;0,9;-0,2;0,7;-0,4;0;0;0,8;-0,4;0;0;0,9;-0,4;26
39;Wonderful fresh champagne with loads of green apple, citrus, and bread notes.;0,8;-0,3;0;0;0,7;-0,1;0;0;0;0;0;0;0;0;27
12;A nice BdB which means 100% Chardonnay elaborated from a blend of 15 Chardonnay crus, most of them being Grand & Premier Crus classified. It came across as a shy player with a discreet nose. Give it time prior to tasting & it will impress you with delicacy of aromas like yellow fruit, yellow apple with hints of frangipane & tones of shaved almonds. The palate is balanced with chalky notes & tangerine aftertaste. The finish is somewhat on the shorter side. Drink it now, thank me later.;0,7;-0,3;0;0;0,8;-0,1;0;0;0,8;-0,3;0;0;0,8;-0,3;28
17;Backlog. Mostue tasting. Sure.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29
8;Strong citrus, clear, crispy fresh green apple, young.;0,9;-0,3;0;0;0,8;-0,4;0;0;0;0;0;0;0;0;30
46;Had this as a welcoming drink with some small canapes. First impressions were strong citrus flavors, mainly lemon and apple with hints of yeast. In the aftertaste, some vanilla and light toast. Great champagne but did not make it into the top 10 of my list.;0,8;-0,3;0,8;-0,4;0,9;-0,2;0;0;0;0;0;0;0;0;31
34;Green apple, brioche, citrus.;0,8;-0,2;0,8;-0,4;0;0;0;0;0;0;0;0;0;0;32
47;Light, refreshing green apples, brioche.;0,8;-0,3;0,9;-0,3;0;0;0;0;0;0;0;0;0;0;33
21;Smell smoothly comfortable, it’s a vintage 2015 and you can tell! Butter… boom! What a powerful bubble, almost arrogant. It tickles your desire and your palate. Eventually, what remains? Maybe only a sweet aftertaste. Sweetly comfortable on the nose. The vinosity of 2015 is felt, but then boom! What a strong bubble, bordering on arrogance. It tickles your desire as well as the palate. But in the end, what do you have left? Maybe just too sweet a mouth.;0;0;0;0;0;0;0,8;-0,2;0;0;0,8;-0,4;0;0;34
26;Wow - this is one of the better ones for me - perfect perlage, notes of brioche, toast, citrus, green apple, and hint of yeast. Love it now.;0,8;-0,2;0,9;-0,2;0,9;-0,4;0,6;-0,4;0,8;-0,4;0;0;0;0;35
33;Green apple, citrus, lemon, vanilla, apple.;0,8;-0,2;0;0;0;0;0;0;0;0;0;0;0;0;36
30;Green apple, brioche, cream, citrus, almond, vanilla, apple, yeast, lemon, honey, toast, tangerine, yellow apple, pear, peach, butter.;0,8;-0,2;0,7;-0,4;0,9;-0,1;0;0;0,7;-0,3;0;0;0;0;37
25;Like or leave it. Might just be very different from what I’ve had before.;0;0;0;0;0;0;0;0;0,8;-0,2;0;0;0;0;38
7;Citrus - lemon - green apple hint of toast. In the mouth, light & fresh. Lovely BdB.;0,9;-0,3;0;0;0,7;-0,2;0,8;-0,2;0;0;0;0;0;0;39
49;An elegant and sophisticated Blanc de Blanc Champagne that delivers citrus and brioche notes with high laser acidity. It’s distinguished from other sparkling wines by its 7g/L dosage, harvested in 2015, and disgorged in November 2021. Pale yellow color. The nose and palate develop notes of white peach, lemon, apple, pear, biscuit, brioche, nutty, smoke, and wet stone. Brut, medium body, high laser acidity, medium alcohol (12.5%), multi-flavored, long finish, high complexity. Can be enjoyed now but also has potential for aging.;0,8;-0,1;0,8;-0,4;0,7;-0,2;0,8;-0,2;0,7;-0,2;0;0;0;0;40
40;Perfect rose champagne. Absolutely perfect.;0,8;-0,2;0;0;0,8;-0,2;0,8;-0,3;0,7;-0,2;0;0;0;0;41
4;Give it some time, as the nose is quite attacking with sourdough and yeast. Then the full beauty of ripe yellow fruits and apple prevails. Touch of tangerine oil in the relatively shorter finish.;0,9;-0,3;0,8;-0,4;0,8;-0,2;0;0;0,8;-0,2;0;0;0,7;-0,2;42
2;Blanc de Blanc. Celebrating promotion. 70% premier and grand Crus, 5 years aging, 40% reserve wines. Medium+ body, fine and creamy mousse, medium alcohol, high acidity. Green apple, white peach, yellow plum, pear, almond, brioche, yeast, vanilla toast, fresh bread, lemon, tangerine. Great balance, very refreshing, medium+ finish.;0,9;-0,3;0,9;-0,2;0,9;-0,4;0,6;-0,4;0,8;-0,2;0;0;0;0;43
35;Love it! Green apple, toast, brioche, and yeast. Very nice perlage!;0,8;-0,2;0,9;-0,2;0;0;0,6;-0,2;0;0;0;0;0;0;44
6;Nice. Rounded, smooth. Pair with salmon toast.;0;0;0;0;0;0;0;0;0,9;-0,1;0;0;0;0;45
22;Ripe red fruit and honey.;0;0;0;0;0,9;-0,2;0;0;0,8;-0,2;0,9;-0,3;0;0;46
28;Green golden color with soft bubbles. A sensational nose with marzipan, pear, zesty citrus, and blossoms. A lively fresh palate with chalk and saline.;0,8;-0,2;0;0;0,8;-0,2;0,8;-0,3;0,9;-0,2;0;0;0;0;47
1;Sushi restaurant in Shanghai. First bottle after Chinese New Year. It has Blanc de Blanc, fresh, truly rich. Well-matched with Japanese fresh dishes. Blanc de Blanc Light golden. Tiny bubbles. Discreet bouquet with apples. In the mouth, it has high acidity and more apple. Not too powerful but more light and fresh.;0,9;-0,2;0;0;0,7;-0,2;0,8;-0,2;0,9;-0,2;0;0;0;0;48
38;Cream, green apple, lemon, apple, vanilla, brioche, honey, bak bak.;0,8;-0,2;0,9;-0,2;0,9;0;0;0;0;0;0;0;0;0;49
